company,date,fleetsize
VOLVO,2001,3436
VOLVO,2002,2878401
VOLVO,2003,3769551
VOLVO,2004,30687205
VOLVO,2005,562869646
VOLVO,2006,1228333725
VOLVO,2007,1676682778
VOLVO,2008,609121646
VOLVO,2009,703938998
VOLVO,2010,427192132
VOLVO,2011,598070199
VOLVO,2012,1602504952
VOLVO,2013,2082112035
VOLVO,2014,1918071675
VOLVO,2015,916734828
PACCAR,2001,1180348
PACCAR,2002,2182214
PACCAR,2003,1786416
PACCAR,2004,12741357
PACCAR,2005,693398463
PACCAR,2006,1987925494
PACCAR,2007,2877443339
PACCAR,2008,1379383010
PACCAR,2009,1784797113
PACCAR,2010,1336663913
PACCAR,2011,1244704963
PACCAR,2012,3227197032
PACCAR,2013,3065586306
PACCAR,2014,3756718050
PACCAR,2015,1431429940
OSHKOSH,2003,1
OSHKOSH,2004,11
OSHKOSH,2005,7916
OSHKOSH,2006,55096
OSHKOSH,2007,1916465
OSHKOSH,2008,11576
OSHKOSH,2009,934
OSHKOSH,2010,9
OSHKOSH,2011,54
OSHKOSH,2012,4035675
OSHKOSH,2013,49355159
OSHKOSH,2014,12760556
NAVISTAR INTL,2001,41
NAVISTAR INTL,2002,944450
NAVISTAR INTL,2003,448049
NAVISTAR INTL,2004,11777024
NAVISTAR INTL,2005,782025708
NAVISTAR INTL,2006,1066482715
NAVISTAR INTL,2007,2132028657
NAVISTAR INTL,2008,597468283
NAVISTAR INTL,2009,1180372419
NAVISTAR INTL,2010,526232362
NAVISTAR INTL,2011,1722627836
NAVISTAR INTL,2012,1692085205
NAVISTAR INTL,2013,2021149086
NAVISTAR INTL,2014,1560385874
NAVISTAR INTL,2015,504461112
LODAL,2003,3400
LODAL,2004,1704
LODAL,2005,241399
HME,2006,3263
DAIMLER,2001,2
DAIMLER,2002,14465691
DAIMLER,2003,23399003
DAIMLER,2004,122120266
DAIMLER,2005,4170589562
DAIMLER,2006,9112548009
DAIMLER,2007,12636526352
DAIMLER,2008,3091940395
DAIMLER,2009,5780643377
DAIMLER,2010,4190449714
DAIMLER,2011,3691485120
DAIMLER,2012,9241091617
DAIMLER,2013,9592682155
DAIMLER,2014,10086587747
DAIMLER,2015,3947528515
CRANE CARRIER,2003,1
CRANE CARRIER,2004,11
CRANE CARRIER,2005,9797213
CRANE CARRIER,2006,79356
CRANE CARRIER,2007,887184
CRANE CARRIER,2008,13459128
CRANE CARRIER,2009,10751985
CRANE CARRIER,2010,3054011
CRANE CARRIER,2011,1822399
CRANE CARRIER,2012,3010919
CRANE CARRIER,2013,7436398
CRANE CARRIER,2014,1335105
CATERPILLAR,2012,11230202
CATERPILLAR,2013,29038063
CATERPILLAR,2014,67949502
CATERPILLAR,2015,3921349
AUTOCAR LLC,2003,1905250
AUTOCAR LLC,2004,2218776
AUTOCAR LLC,2005,75603791
AUTOCAR LLC,2006,35582429
AUTOCAR LLC,2007,36846915
AUTOCAR LLC,2008,53480740
AUTOCAR LLC,2009,30599037
AUTOCAR LLC,2010,26136227
AUTOCAR LLC,2011,14774164
AUTOCAR LLC,2012,18027503
AUTOCAR LLC,2013,46683871
AUTOCAR LLC,2014,50091853
AUTOCAR LLC,2015,8
AMRICAN LAFRANCE,2007,16625438
AMRICAN LAFRANCE,2008,6774852
AMRICAN LAFRANCE,2009,5380768
AMRICAN LAFRANCE,2010,1388839
AMRICAN LAFRANCE,2011,2372519
AMRICAN LAFRANCE,2012,1511618
AMRICAN LAFRANCE,2013,19288